,OD,delta_OD,mean_Temperature (C),mean_pH,mean_Dissolved Oxygen,mean_Light Intensity (μmol photons m² s⁻¹),std_Temperature (C),std_pH,std_Dissolved Oxygen,std_Light Intensity (μmol photons m² s⁻¹),min_Temperature (C),min_pH,min_Dissolved Oxygen,min_Light Intensity (μmol photons m² s⁻¹),max_Temperature (C),max_pH,max_Dissolved Oxygen,max_Light Intensity (μmol photons m² s⁻¹),median_Temperature (C),median_pH,median_Dissolved Oxygen,median_Light Intensity (μmol photons m² s⁻¹),slope_Temperature (C),slope_pH,slope_Dissolved Oxygen,slope_Light Intensity (μmol photons m² s⁻¹),first_last_diff_Temperature (C),first_last_diff_pH,first_last_diff_Dissolved Oxygen,first_last_diff_Light Intensity (μmol photons m² s⁻¹)
60276,0.006370427247436334,0.004552489374027622,28.891260706638114,7.1737585006693445,6.282028218694884,120.0,0.019039605531040584,0.07450620908475329,8.62419949732431,0.0,28.78,7.12,0.0,120.0,28.92,7.316,30.01,120.0,28.9,7.135,5.445,120.0,-6.595494947571834e-06,-4.8042239782364996e-05,0.004786848420968413,0.0,-0.00999999999999801,-0.16799999999999926,6.6,0.0
64031,0.007824872944145547,0.0014544456967092124,28.92803728362184,7.144064980026631,5.873166444740345,120.0,0.035874918782170306,0.001746763875464545,0.43710886343124383,0.0,28.85,7.138,5.09,120.0,28.99,7.15,6.59,120.0,28.93,7.144,5.88,120.0,3.274686099579545e-05,-4.2222893255758806e-07,-0.0003880491794204975,0.0,0.08999999999999986,0.0,-1.37,0.0
67785,0.009362523040124707,0.0015376500959791602,29.009589770911028,7.1398233883857225,4.928854555141182,120.0,0.02716151691002267,0.002527330307091698,0.17822635845655083,0.0,28.94,7.132,4.41,120.0,29.06,7.147,5.25,120.0,29.01,7.14,4.98,120.0,2.440893570012254e-05,-1.5315169373879178e-06,-0.00014248982376030098,0.0,0.05000000000000071,-0.005000000000000782,-0.6399999999999997,0.0
71541,0.01211255759385417,0.0027500345537294635,29.069893503727368,7.133281682641107,3.757364217252396,120.0,0.026319543105176462,0.003925537942754113,0.4640422479936308,0.0,29.0,7.123,2.61,120.0,29.12,7.143,4.58,120.0,29.07,7.133,3.8,120.0,2.388917554992391e-05,-3.2372594360901503e-06,-0.0004219820552221583,0.0,0.07000000000000028,-0.008000000000000007,-1.9700000000000002,0.0
75300,0.015184304915286918,0.003071747321432748,29.152152168129824,7.123831072093641,2.3261532322426177,120.0,0.040534904570165724,0.002565674403779854,0.2552410582205592,0.0,29.07,7.116,1.87,120.0,29.23,7.132,3.07,120.0,29.15,7.124,2.27,120.0,3.7117327436606404e-05,-1.8849634790874186e-06,1.7919942101024287e-05,0.0,0.120000000000001,-0.008000000000000007,-0.4299999999999997,0.0
79060,0.01773196087758508,0.0025476559622981607,29.261531914893617,7.119804521276595,1.660247340425532,120.0,0.03551609450560832,0.002508475823002594,0.23109134763830202,0.0,29.18,7.112,1.15,120.0,29.33,7.128,2.19,120.0,29.26,7.12,1.62,120.0,3.237359123453917e-05,-7.646221076634834e-07,-0.00019395691595608486,0.0,0.09999999999999787,-0.0039999999999995595,-0.8400000000000001,0.0
82821,0.02269752193762264,0.004965561060037562,29.373791544801914,7.117697155011965,0.44621111406540814,120.0,0.03445908987914695,0.0015291545743976414,0.42254595254805427,0.0,29.29,7.112,0.0,120.0,29.42,7.122,1.36,120.0,29.38,7.118,0.34,120.0,3.0433002981091195e-05,1.325337404975968e-07,-0.0003755015128223334,0.0,0.08999999999999986,0.0,-1.34,0.0
86583,0.02570976266419975,0.0030122407265771103,29.367014885699096,7.113103136629452,0.0,120.0,0.023570974620555116,0.0021112367598514078,0.0,0.0,29.3,7.106,0.0,120.0,29.4,7.12,0.0,120.0,29.38,7.113,0.0,120.0,-1.9789903679919466e-05,-7.534255839975686e-07,0.0,0.0,-0.09999999999999787,-0.0019999999999997797,0.0,0.0
90342,0.030164942529966984,0.004455179865767232,29.25043894652833,7.108704708699122,0.0,120.0,0.02389202994289078,0.0018201628289238748,0.0,0.0,29.18,7.103,0.0,120.0,29.31,7.117,0.0,120.0,29.25,7.109,0.0,120.0,-2.1619050607282593e-05,2.2346897379594993e-07,0.0,0.0,-0.129999999999999,-0.0039999999999995595,0.0,0.0
94103,0.030905077217174948,0.0007401346872079641,29.187349109279452,7.111903483116192,0.4618691837277319,120.0,0.04103990863702229,0.002425812233528107,0.6186788772015073,0.0,29.14,7.105,0.0,120.0,29.29,7.121,1.64,120.0,29.17,7.112,0.0,120.0,2.7035417792742057e-05,1.6096514258233631e-06,0.0004973853659295364,0.0,0.08999999999999986,0.009000000000000341,1.63,0.0
97866,0.03333995549441723,0.002434878277242279,29.321488174328987,7.12011772521924,1.621894764815307,62.6308796173266,0.02733058211422132,0.0037786596742116546,0.19626116544788735,59.95025913526168,29.25,7.112,1.09,0.0,29.38,7.129,1.89,120.0,29.32,7.119,1.68,120.0,8.74879155563826e-06,3.0766299240559067e-06,0.0001013142715561299,-0.047742210021055075,0.019999999999999574,0.004999999999999893,0.07000000000000006,-120.0
101632,0.032884958614766015,-0.00045499687965121216,29.197161444503454,7.126655602761551,1.4819702602230485,0.0,0.0446534712478948,0.0017763621884710425,0.1286821347786626,0.0,29.11,7.122,1.06,0.0,29.28,7.133,1.71,0.0,29.2,7.127,1.53,0.0,-4.088189511019482e-05,9.66303738367118e-07,6.686682705933212e-05,0.0,-0.1700000000000017,0.0019999999999997797,-0.15999999999999992,0.0
105396,0.03182514934791203,-0.0010598092668539852,29.067348565356003,7.130650903294367,1.381596705632306,0.0,0.024306149709486236,0.001946759262477787,0.13765654128589797,0.0,29.02,7.125,0.85,0.0,29.11,7.136,1.58,0.0,29.07,7.131,1.43,0.0,-2.201142217094737e-05,1.2684518773077106e-06,6.722946999705046e-05,0.0,-0.08999999999999986,0.004000000000000448,-0.19000000000000017,0.0
109159,0.030726781332251606,-0.0010983680156604232,28.99029231995748,7.132050757374435,1.1897289396757909,0.0,0.013769562933622696,0.001381824116816168,0.16923517128545837,0.0,28.94,7.127,0.67,0.0,29.02,7.137,1.39,0.0,28.99,7.132,1.25,0.0,-1.1932928863430218e-05,2.057881060168977e-07,0.00010053072148541124,0.0,-0.07000000000000028,0.0019999999999997797,-0.1499999999999999,0.0
112923,0.030055400143434628,-0.0006713811888169781,28.937858660998938,7.134209351753455,1.1023405951115834,0.0,0.008214840566996432,0.0015763862387810504,0.10636166340971329,0.0,28.9,7.129,0.71,0.0,28.96,7.139,1.27,0.0,28.94,7.134,1.13,0.0,-5.724837929145868e-06,3.1820321962432713e-07,3.507240583439273e-05,0.0,-0.030000000000001137,0.0,-0.10000000000000009,0.0
116687,0.028988807365884623,-0.0010665927775500052,28.903517534537723,7.1356509032943665,0.9722183846971306,0.0,0.00505162934120662,0.0022085817527777375,0.10231985782477782,0.0,28.88,7.129,0.66,0.0,28.91,7.142,1.13,0.0,28.9,7.136,1.01,0.0,-3.071175455991806e-07,1.3534139916104872e-06,5.1136311234744756e-05,0.0,-0.019999999999999574,0.0030000000000001137,-0.16999999999999993,0.0
120449,0.028374654829313162,-0.0006141525365714606,28.88965178096756,7.137077086656034,0.8659808612440191,0.0,0.004496559382710633,0.0013937266738539146,0.10234972787750436,0.0,28.87,7.133,0.52,0.0,28.9,7.142,1.01,0.0,28.89,7.137,0.9,0.0,1.1553130855002997e-06,1.585936942099121e-07,4.754733871029081e-05,0.0,0.010000000000001563,-0.0019999999999997797,-0.05999999999999994,0.0
124215,0.02725776076803376,-0.001116894061279402,28.88708443972384,7.1364137015400955,0.7690546999468932,0.0,0.006031945681392912,0.001682142202841101,0.08430992394363425,0.0,28.86,7.132,0.5,0.0,28.9,7.142,0.93,0.0,28.89,7.136,0.78,0.0,3.700222706922588e-06,6.936760818483592e-07,3.88885537067622e-05,0.0,0.0,0.0009999999999994458,-0.07000000000000006,0.0
127976,0.026035198784263632,-0.0012225619837701283,28.884041478330225,7.137684924222282,0.6766205796330763,0.0,0.005723447698603127,0.0014365697918523564,0.089301288331371,0.0,28.86,7.133,0.39,0.0,28.9,7.143,0.84,0.0,28.88,7.138,0.7,0.0,3.8401725971123256e-06,2.0920794382471417e-07,4.53528157417577e-05,0.0,0.00999999999999801,0.001000000000000334,-0.15999999999999992,0.0
131739,0.02600806979141331,-2.7128992850320582e-05,28.88459473824076,7.137305872973691,0.5842412968376296,0.0,0.005756372605736543,0.0019423468739807287,0.08008054973026467,0.0,28.86,7.132,0.32,0.0,28.9,7.144,0.74,0.0,28.88,7.137,0.61,0.0,3.5371849124224764e-06,-3.7676149832011416e-07,4.53585176861617e-05,0.0,0.0,0.0,-0.08000000000000007,0.0
135504,0.02508669091189371,-0.0009213788795196,28.88493758300132,7.1335139442231075,0.510132802124834,0.0,0.005815767256288122,0.0036664358497962685,0.09208520404016261,0.0,28.86,7.126,0.25,0.0,28.9,7.141,0.72,0.0,28.89,7.134,0.53,0.0,3.805225252082819e-06,-2.7340151022674226e-06,6.703369157520885e-05,0.0,0.0,-0.005999999999999339,0.07000000000000006,0.0
139266,0.025289768279827006,0.00020307736793329437,28.88030568846358,7.132125465178096,0.4364965443912812,0.0,0.013622600150079095,0.0017454906719044788,0.0810818639807851,0.0,28.8,7.128,0.17,0.0,28.91,7.139,0.67,0.0,28.88,7.132,0.45,0.0,-3.3983801192509775e-06,2.2579289170212138e-07,3.347216609822493e-05,0.0,-0.07000000000000028,0.004999999999999893,-0.22000000000000003,0.0
143024,0.02520852593715014,-8.124234267686478e-05,28.758810537519963,7.132548163916978,0.3880042575838212,62.52261841405003,0.02379366936421838,0.0018044382578551827,0.11852840902293998,59.954924016937184,28.71,7.126,0.09,0.0,28.81,7.138,0.57,120.0,28.76,7.133,0.42,120.0,-5.504218474086114e-06,-6.239966601500121e-07,9.739667706373909e-05,0.047813153948878834,-0.03999999999999915,-0.001000000000000334,0.04999999999999999,120.0
146780,0.024180769560738325,-0.001027756376411816,28.860420660276894,7.12724494142705,0.39065761448349307,120.0,0.04906946449007657,0.0022035351023526927,0.06479893246853266,0.0,28.74,7.121,0.18,120.0,28.94,7.135,0.53,120.0,28.87,7.127,0.41,120.0,4.461011240055257e-05,-1.167351608492984e-06,3.689359506859775e-05,0.0,0.16000000000000014,-0.0039999999999995595,-0.04999999999999999,0.0
150533,0.02380273473432911,-0.0003780348264092147,28.948593125499603,7.117193978150812,2.7181161737276844,120.0,0.027172020242740697,0.0065703666963958995,1.8580790414403636,0.0,28.88,7.106,0.04,120.0,29.0,7.133,4.25,120.0,28.94,7.114,4.04,120.0,2.4462578899805463e-05,-4.351055326396334e-06,0.0014769036717603868,0.0,0.0799999999999983,-0.01699999999999946,3.71,0.0
154289,0.024761964509897292,0.0009592297755681815,29.011397763578273,7.115691693290735,4.028309371671991,120.0,0.023670855184035104,0.001755264543221302,0.05769464711989769,0.0,28.96,7.109,3.91,120.0,29.07,7.121,4.17,120.0,29.01,7.116,4.02,120.0,2.118318161453014e-05,-1.4474036126510164e-07,-1.6293627718994383e-05,0.0,0.060000000000002274,0.0009999999999994458,-0.2599999999999998,0.0
158043,0.023897212595732666,-0.0008647519141646264,29.127043153969105,7.115803143313798,3.825665956313266,120.0,0.04787178399558084,0.0017177249428209226,0.0538978544361545,0.0,29.04,7.111,3.65,120.0,29.21,7.122,3.91,120.0,29.13,7.116,3.83,120.0,4.3961336672961e-05,4.547387290451913e-08,1.1189243872160887e-05,0.0,0.14000000000000057,0.0,-0.13000000000000034,0.0
161800,0.024586172367483623,0.0006889597717509577,29.20498269896193,7.1119073729039135,3.665879691243013,120.0,0.009145083635183057,0.0017378641864065725,0.05621780257174978,0.0,29.18,7.106,3.51,120.0,29.22,7.118,3.78,120.0,29.21,7.112,3.69,120.0,7.36943363580923e-06,-1.9689597705615226e-07,3.348714688419391e-05,0.0,0.019999999999999574,-0.0029999999999992255,-0.11999999999999966,0.0
165557,0.02626586367111558,0.001679691303631957,29.237072132020227,7.114019430396593,3.547958477508651,120.0,0.027074196225016774,0.0016988047528007488,0.05126317468130094,0.0,29.19,7.109,3.4,120.0,29.3,7.12,3.66,120.0,29.23,7.114,3.56,120.0,2.4482398612299612e-05,-4.177744235835841e-07,2.2557399423568684e-05,0.0,0.0799999999999983,0.0,-0.14000000000000012,0.0
169319,0.03376781146911759,0.007501947798002007,29.3429399255715,7.111849813928761,3.537208189311353,120.0,0.03221044048520248,0.0021680369396522,0.08103894189295728,0.0,29.27,7.104,3.31,120.0,29.39,7.118,3.63,120.0,29.35,7.112,3.57,120.0,2.878349886533963e-05,-1.241570721245047e-06,5.109797533149653e-05,0.0,0.08999999999999986,-0.0039999999999995595,0.020000000000000018,0.0
173085,0.03470781326109842,0.000940001791980831,29.41789375830013,7.110545671800319,3.4395644090305444,120.0,0.03349384729182499,0.001725032051232995,0.0680151371514037,0.0,29.35,7.106,3.3,120.0,29.48,7.116,3.7,120.0,29.42,7.11,3.47,120.0,3.0492819711406143e-05,6.982436852662457e-07,5.271553619643274e-05,0.0,0.08999999999999986,0.0009999999999994458,-0.08000000000000007,0.0
176844,0.03540029137500184,0.0006924781139034247,29.500122372971532,7.111708167065709,3.4190289970736902,120.0,0.019316030208087955,0.0016428647527467965,0.07029277297675658,0.0,29.45,7.105,3.22,120.0,29.53,7.118,3.51,120.0,29.5,7.112,3.45,120.0,7.188375609067835e-06,5.886024142761413e-08,5.1424322050346454e-05,0.0,0.0,0.001000000000000334,0.0,0.0
180606,0.036774664114324056,0.0013743727393222133,29.388221690590115,7.111641414141414,3.3068261562998402,120.0,0.0366432643850598,0.0018715226676846817,0.11266643785123254,0.0,29.31,7.106,3.04,120.0,29.47,7.118,3.44,120.0,29.39,7.112,3.36,120.0,-3.333347659927396e-05,8.5444773671636e-07,8.598760204230279e-05,0.0,-0.14999999999999858,0.0,-0.050000000000000266,0.0
184368,0.03783269709769986,0.0010580329833758048,29.299803296119087,7.110611908559277,3.2869351408825094,120.0,0.029485774735619023,0.0016910690611782679,0.14295078684388624,0.0,29.26,7.104,2.99,120.0,29.38,7.116,3.58,120.0,29.29,7.111,3.36,120.0,1.9868789537577187e-05,-1.7008359331861378e-07,0.00011810292259879996,0.0,0.060000000000002274,-0.0030000000000001137,0.009999999999999787,0.0
188135,0.038139451488141934,0.00030675439044207387,29.398829307140964,7.110928059463765,3.200491106981683,52.275019909742504,0.025603378509532822,0.0022071135004566988,0.1103104673964754,59.50852676884177,29.34,7.105,3.05,0.0,29.44,7.12,3.43,120.0,29.4,7.111,3.15,0.0,-2.0030607197558662e-06,1.3246606903001312e-06,-5.659836491598055e-05,-0.04699130517778606,-0.030000000000001137,0.004000000000000448,-0.33000000000000007,-120.0
191902,0.0383347716991712,0.00019532021102926234,29.259609769046985,7.114205468542607,3.015521635253518,0.0,0.038935402609202564,0.0017960959127749044,0.07224080149484674,0.0,29.19,7.108,2.82,0.0,29.34,7.119,3.13,0.0,29.26,7.114,3.05,0.0,-3.5514728536494464e-05,7.591672345877764e-07,5.7937866327393284e-05,0.0,-0.14999999999999858,0.0030000000000001137,0.020000000000000018,0.0
195665,0.03806971555307175,-0.00026505614609944467,29.128671272920542,7.116304012755779,3.068679245283019,0.0,0.030733356013904412,0.0015324081363251004,0.07630546605019756,0.0,29.07,7.11,2.83,0.0,29.19,7.122,3.17,0.0,29.13,7.116,3.1,0.0,-2.8006383422825573e-05,4.3566484735506375e-07,5.3511251597905395e-05,0.0,-0.120000000000001,0.001000000000000334,-0.010000000000000231,0.0
199431,0.038488299227996264,0.00041858367492451226,29.0572039298991,7.118922729686671,3.0463223579394585,0.0,0.005809215142144447,0.0014733141344817188,0.07189221062716707,0.0,29.04,7.114,2.84,0.0,29.08,7.125,3.13,0.0,29.06,7.119,3.08,0.0,-3.6172833145927375e-06,1.9902252646556586e-07,5.40310504053752e-05,0.0,-0.030000000000001137,0.005999999999999339,0.009999999999999787,0.0
203198,0.038502258967696434,1.395973970017006e-05,29.037884258030264,7.120829572604195,3.05489514202283,0.0,0.0044756239681991335,0.0016895688857282449,0.06497013812418338,0.0,29.02,7.116,2.87,0.0,29.05,7.126,3.17,0.0,29.04,7.121,3.08,0.0,1.5220488586159918e-06,6.081669548991852e-07,4.9048880724796866e-05,0.0,-0.019999999999999574,-0.0039999999999995595,0.009999999999999787,0.0
206964,0.03708067183290223,-0.0014215871347942055,29.031526818905995,7.122181890600106,3.049211364843335,0.0,0.005418006260924742,0.0015344131199115736,0.08090812219635242,0.0,29.01,7.117,2.82,0.0,29.05,7.127,3.17,0.0,29.03,7.122,3.08,0.0,2.231145254281389e-06,3.3200279393629e-07,6.170510718256163e-05,0.0,-0.010000000000001563,0.007000000000000561,-0.029999999999999805,0.0
210729,0.03759580792581958,0.0005151360929173537,29.024440903054444,7.121636918990704,2.842177954847277,0.0,0.005380034056876011,0.001544819963466567,0.29503198766138083,0.0,29.01,7.117,2.31,0.0,29.04,7.128,3.2,0.0,29.02,7.122,2.93,0.0,2.472289606439216e-06,-7.176755129497849e-07,0.000255883607777015,0.0,-0.010000000000001563,0.0,0.13000000000000034,0.0
214493,0.037484375363059784,-0.00011143256275979868,29.01828639744952,7.121620882040382,3.153520191285866,0.0,0.005769218850175121,0.0017605834765638984,0.07538237624455679,0.0,29.0,7.116,2.94,0.0,29.03,7.128,3.28,0.0,29.02,7.122,3.17,0.0,3.5078977714664513e-06,2.3759636835172259e-07,6.474657964994624e-05,0.0,0.0,-0.0009999999999994458,0.08000000000000007,0.0
218256,0.037150249122322496,-0.0003341262407372883,29.01780494286473,7.122884134998672,3.235660377358491,0.0,0.005244394695394028,0.001830502589103173,0.07797379902207652,0.0,29.0,7.116,3.03,0.0,29.03,7.128,3.36,0.0,29.02,7.123,3.27,0.0,2.7432686413922573e-06,9.373249840879323e-07,6.033985487052021e-05,0.0,0.0,0.0039999999999995595,0.050000000000000266,0.0
222020,0.037275516340148855,0.00012526721782635947,29.016485122210412,7.1226697662061635,3.268581296493092,0.0,0.006988813940004669,0.0015311904145596136,0.08349084540126535,0.0,29.0,7.118,3.05,0.0,29.04,7.128,3.4,0.0,29.02,7.123,3.3,0.0,5.215603280162345e-06,2.759088214247555e-07,6.986660769608944e-05,0.0,0.010000000000001563,0.0009999999999994458,0.05999999999999961,0.0
225783,0.03716416591792406,-0.00011135042222479297,29.024844538931696,7.122975817167155,3.308713792187085,0.0,0.007113869450817802,0.0020028421699254395,0.06373034040127415,0.0,29.01,7.117,3.13,0.0,29.04,7.13,3.41,0.0,29.02,7.123,3.33,0.0,5.237843061556739e-06,-7.536833428192521e-07,4.443874317690352e-05,0.0,0.0,-0.0039999999999995595,0.010000000000000231,0.0
229546,0.036913731803207554,-0.0002504341147165079,29.028859952165824,7.122199574807334,3.3039170874302415,0.0,0.009257512643717117,0.0017053812412521025,0.049713859950250995,0.0,29.01,7.117,3.12,0.0,29.05,7.128,3.38,0.0,29.03,7.122,3.32,0.0,3.3569170718671595e-06,-3.164190873693411e-07,3.361203179282239e-05,0.0,-0.019999999999999574,0.008000000000000007,0.0,0.0
233311,0.03676075979435926,-0.00015297200884829137,28.927705179282867,7.12314369189907,3.433601593625498,72.82868525896414,0.0247365113095026,0.0021968278915207124,0.1657007487863678,58.620282670594946,28.88,7.117,3.13,0.0,29.01,7.13,3.62,120.0,28.92,7.123,3.55,120.0,-5.716295483182503e-06,9.925597066613176e-07,0.00013796288881146726,0.04562317499177449,-0.05000000000000071,-0.002000000000000668,0.23999999999999977,120.0
237069,0.03701110568850911,0.0002503458941498504,29.014603512506653,7.1214925492283125,3.5027168706758913,120.0,0.04333010269712165,0.0018831510877432547,0.04313679101409431,0.0,28.92,7.116,3.37,120.0,29.08,7.128,3.58,120.0,29.02,7.121,3.51,120.0,3.9274016420027126e-05,-7.291136294862046e-07,2.5970040927879088e-05,0.0,0.120000000000001,-0.0019999999999997797,-0.040000000000000036,0.0
240830,0.039074994982707,0.0020638892941978876,29.090276522201542,7.119963573517682,2.488402020739165,120.0,0.020968012726268286,0.0026217182917016913,0.6978373309475502,0.0,29.04,7.112,1.66,120.0,29.13,7.129,4.1,120.0,29.09,7.12,2.05,120.0,1.852945364810409e-05,-1.71681589626056e-06,-0.00054986712024314,0.0,0.030000000000001137,-0.0030000000000001137,-1.5400000000000003,0.0
244586,0.039074994982707,0.0,29.127348242811504,7.119316560170395,1.8087406815761449,120.0,0.017627515248862174,0.001640743714110578,0.1379234850538111,0.0,29.08,7.114,1.53,120.0,29.16,7.125,2.35,120.0,29.13,7.119,1.75,120.0,1.534233244948703e-05,3.2710240493454087e-07,8.757459140938023e-05,0.0,0.03999999999999915,0.0009999999999994458,0.07000000000000006,0.0
248346,0.04254145396841895,0.003466458985711948,29.15096808510639,7.118061170212766,2.358859042553192,120.0,0.014285093351083281,0.0018805745084399753,0.5124635493477527,0.0,29.09,7.112,1.67,120.0,29.17,7.127,4.99,120.0,29.15,7.118,2.36,120.0,9.481525116111043e-06,2.4314068689563458e-08,5.9415283466991816e-05,0.0,0.019999999999999574,0.0009999999999994458,0.40000000000000013,0.0
