Media,Sample,Time_Replicate,OD,Date,Technical_Replicate,Sample_Type,Combined_Group,Time_Since_Start_Days,X_Axis_Time_Days
No Glucose,No Cyano 1,5.16.25 Replicate #2,0.098,2025-05-16,2,No Cyano,No Glucose + No Cyano,2.0,2.0
No Glucose,No Cyano 2,5.16.25 Replicate #2,0.085,2025-05-16,2,No Cyano,No Glucose + No Cyano,2.0,2.0
No Glucose,Filtered Cyano 1,5.17.25 Replicate #1,0.11,2025-05-17,1,Filtered Cyano,No Glucose + Filtered Cyano,3.0,3.0
No Glucose,Filtered Cyano 2,5.17.25 Replicate #1,0.049,2025-05-17,1,Filtered Cyano,No Glucose + Filtered Cyano,3.0,3.0
No Glucose,Filtered Cyano 3,5.17.25 Replicate #1,0.095,2025-05-17,1,Filtered Cyano,No Glucose + Filtered Cyano,3.0,3.0
No Glucose,No Cyano 1,5.17.25 Replicate #1,0.106,2025-05-17,1,No Cyano,No Glucose + No Cyano,3.0,3.0
No Glucose,No Cyano 2,5.17.25 Replicate #1,0.093,2025-05-17,1,No Cyano,No Glucose + No Cyano,3.0,3.0
No Glucose,Filtered Cyano 1,5.17.25 Replicate #2,0.111,2025-05-17,2,Filtered Cyano,No Glucose + Filtered Cyano,3.0,3.0
No Glucose,Filtered Cyano 2,5.17.25 Replicate #2,0.058,2025-05-17,2,Filtered Cyano,No Glucose + Filtered Cyano,3.0,3.0
No Glucose,Filtered Cyano 3,5.17.25 Replicate #2,0.106,2025-05-17,2,Filtered Cyano,No Glucose + Filtered Cyano,3.0,3.0
No Glucose,No Cyano 1,5.17.25 Replicate #2,0.116,2025-05-17,2,No Cyano,No Glucose + No Cyano,3.0,3.0
No Glucose,No Cyano 2,5.17.25 Replicate #2,0.11,2025-05-17,2,No Cyano,No Glucose + No Cyano,3.0,3.0
No Glucose,Filtered Cyano 1,5.18.25 Replicate #1,0.087,2025-05-18,1,Filtered Cyano,No Glucose + Filtered Cyano,4.0,4.0
No Glucose,Filtered Cyano 2,5.18.25 Replicate #1,0.04,2025-05-18,1,Filtered Cyano,No Glucose + Filtered Cyano,4.0,4.0
No Glucose,Filtered Cyano 3,5.18.25 Replicate #1,0.076,2025-05-18,1,Filtered Cyano,No Glucose + Filtered Cyano,4.0,4.0
No Glucose,No Cyano 1,5.18.25 Replicate #1,0.094,2025-05-18,1,No Cyano,No Glucose + No Cyano,4.0,4.0
No Glucose,No Cyano 2,5.18.25 Replicate #1,0.074,2025-05-18,1,No Cyano,No Glucose + No Cyano,4.0,4.0
No Glucose,Filtered Cyano 1,5.18.25 Replicate #2,0.091,2025-05-18,2,Filtered Cyano,No Glucose + Filtered Cyano,4.0,4.0
No Glucose,Filtered Cyano 2,5.18.25 Replicate #2,0.036,2025-05-18,2,Filtered Cyano,No Glucose + Filtered Cyano,4.0,4.0
No Glucose,Filtered Cyano 3,5.18.25 Replicate #2,0.077,2025-05-18,2,Filtered Cyano,No Glucose + Filtered Cyano,4.0,4.0
No Glucose,No Cyano 1,5.18.25 Replicate #2,0.092,2025-05-18,2,No Cyano,No Glucose + No Cyano,4.0,4.0
No Glucose,No Cyano 2,5.18.25 Replicate #2,0.076,2025-05-18,2,No Cyano,No Glucose + No Cyano,4.0,4.0
No Glucose,Filtered Cyano 1,5.19.25 Replicate #1,0.092,2025-05-19,1,Filtered Cyano,No Glucose + Filtered Cyano,5.0,5.0
No Glucose,Filtered Cyano 2,5.19.25 Replicate #1,0.052,2025-05-19,1,Filtered Cyano,No Glucose + Filtered Cyano,5.0,5.0
No Glucose,Filtered Cyano 3,5.19.25 Replicate #1,0.086,2025-05-19,1,Filtered Cyano,No Glucose + Filtered Cyano,5.0,5.0
No Glucose,No Cyano 1,5.19.25 Replicate #1,0.108,2025-05-19,1,No Cyano,No Glucose + No Cyano,5.0,5.0
No Glucose,No Cyano 2,5.19.25 Replicate #1,0.139,2025-05-19,1,No Cyano,No Glucose + No Cyano,5.0,5.0
No Glucose,Filtered Cyano 1,5.19.25 Replicate #2,0.094,2025-05-19,2,Filtered Cyano,No Glucose + Filtered Cyano,5.0,5.0
No Glucose,Filtered Cyano 2,5.19.25 Replicate #2,0.05,2025-05-19,2,Filtered Cyano,No Glucose + Filtered Cyano,5.0,5.0
No Glucose,Filtered Cyano 3,5.19.25 Replicate #2,0.087,2025-05-19,2,Filtered Cyano,No Glucose + Filtered Cyano,5.0,5.0
No Glucose,No Cyano 1,5.19.25 Replicate #2,0.114,2025-05-19,2,No Cyano,No Glucose + No Cyano,5.0,5.0
No Glucose,No Cyano 2,5.19.25 Replicate #2,0.142,2025-05-19,2,No Cyano,No Glucose + No Cyano,5.0,5.0
